ID,Lat,Long,PC1,PC2,PC3
1120,51.313891,-2.885217,-0.017057,0.0128005,0.0178117
960,40.775258,14.586258,0.0383318,0.00934894,0.00672161
2081,43.48,11.12,0.0252039,-0.0113453,-0.000685258
2207,52.114804,0.171711,-0.0202176,0.0131246,0.0198239
2109,48.26656,10.87857,-0.00689333,0.0169343,0.0104195
888,45.46666667,11.18333333,0.0548778,0.0177893,0.00348863
124,41.828485,12.546967,0.0388305,-0.0414814,-0.0226878
506,45.301785,27.966771,-0.110433,0.121071,-0.0781365
1198,42.108562,20.502136,0.0263246,-0.020878,-0.0113609
1383,52.18,0.14,-0.0129123,0.00890039,0.0133991
1060,59.066726,28.804852,-0.0596861,-0.00911151,0.0122763
1323,50.1217475,14.4569508,-0.00679128,0.00403427,0.00737539
529,53.21728,6.565521,-0.0347184,0.014999,0.0228007
2138,54.969329,-1.610672,-0.00847903,0.0130144,0.0106104
1935,46.323,29.4702,-0.0199091,0.0191006,-0.00192615
937,46.28333333,17.85,-0.0300129,0.0149487,0.0189729
1362,48.186427,17.253727,-0.0535266,-0.00553357,0.0158039
975,51.66,11.53,0.094987,0.00827299,-0.006658
1792,43.48,11.12,0.0232783,-0.0114134,-0.00258674
113,47.7467,22.395,0.082703,0.0206372,-0.00862245
266,51.3,12.07,-0.0913909,0.195747,-0.0517045
950,54.45516,55.41849,-0.0614623,-0.0570415,0.0298635
697,37.8,12.43,0.0209958,-0.00991402,-5.95761e-05
295,49.36232,3.46272,-0.0633305,-0.0052742,0.014869
1517,60.8,10.87,-0.0137147,0.00393793,0.0125633
82,43.003333,41.015278,0.0089449,-0.0762407,-0.0338678
112,52.18,0.14,-0.0232815,0.0100137,0.0140311
9,45.300857,18.779447,0.104186,-0.00160635,-0.00358353
2116,50.008869,15.221727,-0.0432438,-0.00339092,0.0111851
1666,39.87,9.2356,0.0724216,0.034536,0.0149493
375,51.918,5.451,-0.030983,0.0120121,0.0160001
326,58.17,22.25,-0.0283375,0.0135515,0.0201491
